31|Abscond|hide, run secretly|Since he committed murder he has been absconding.
32|Affray|public brawl|The timely action of the police averted serious mishap of the affray between the two communities.
33|Annihilate|destroy|The use of nuclear weapons is likely to annihilate humanity.
34|Affable|amiable, pleasing|His affable manners always win him admiration in the society.
35|Amplify|enlarge|The students requested the teacher to amplify upon the point under discussion.
36|Amalgamate|combine, unite in one body|The two firms were amalgamated under the Chairmanship of Mr. Mukesh Ambani.
37|Appease|pacify, soothe|Every political party tries to appease the minorities to create its own vote bank.
38|Apprise|inform|The Minister was apprised of the dangerous situation.
39|Arduous|hard, strenuous|A journey to Amarnath Shrine is very arduous.
40|Apprehend|arrest, fear|Everybody apprehends trouble in the city on account of the abduction of an industrialist.
41|Ameliorate|improve|Unless we ameliorate the condition of the working class, we cannot expect the prosperity of the country.
42|Adulation|praise, flattery|False adulation of the leaders by their followers is a common practice these days.
43|Animosity|active enmity|Animosity between the two leaders has embittered the relations between the two communities.
44|Audacity|boldness|He is feared for his audacity and unyielding attitude.
45|Amnesty|general pardon|On the birth day of the Prince, the King granted amnesty to the prisoners.
46|Ancillary|accessory|He is serving in the ancillary unit of a multinational company.
47|Agrarian|of land, farming|Inspite of agrarian reforms, Indian agriculture has not shown remarkable progress.
48|Acumen|mental keenness|The Jews are known for their business acumen.
49|Abrasive|offensive|Nobody likes her for her abrasive and haughty behaviour.
50|Amulet|charm against evil|The saint gave him an amulet to ward off the evil.
51|Benevolent|generous, charitable|He is noted for his benevolent nature.
52|Biennial|every two years|The meeting of the members of the Trust is held biennially.
53|Belated|delayed|He was sorry for making belated payment.
54|Beguile|delude, cheat|Don't be beguiled by the pleasant manners of hypocrites.
55|Behove|suited to befit, become|It does not behove our political leaders to berate one another for failure in the field of economy.
56|Banal|commonplace, trite|The stories of Ruskin Bond are not banal because he writes about uncommon subjects.
57|Brazen|insolent, impudent, impertinent|Her brazen behaviour at the party offended her poor relations.
58|Bouquet|bunch of flowers|He presented a bouquet to his ailing mother.
59|Brooch|ornamental clasp|She always wears a brooch on her pullover.
60|Blatant|openly shameless|His behaviour was condemned as blatant when he blamed his father for his own misdeeds.
61|Bantering|ridicule (good natured)|Even his bantering was considered offensive.
62|Broach|open up discussion|The parents of the boy did not even broach the issue of marriage with Reena.
63|Bereft|deprived of, lacking|Bereft of wealth and honour, he died miserable death.
64|Benefactor|gift giver, patron|Lord Chesterfield did not prove benefactor to Dr. Johnson in the long run.
65|Benediction|blessing, boon|The benediction of the elders should always be valued more than anything else.
66|Bleak|dismal, gloomy|Khayber Pass is bleak throughout the year.
67|Bonanza|windfall, sudden gain|The legacy left by his uncle proved bonanza for him and his family.
68|Belittle|disparage, underestimate|Our adversaries always try to belittle our success.
69|Bellicose|warlike, militant, belligerent|India must adopt bellicose approach with regard to her security problems.
70|Bereavement|death of near and dear one|On account of bereavement in the family, he did not attend office for days together.
71|Bigotry|fanaticism|Indians are always shocked at the bigotry and narrow mindedness of other races.
72|Berate|scold strongly|The father berated his son for being negligent in his study.
